Identifiant	Longitude	Latitude	Numéro National de Structure	Domaines	Adresse	Code postal	Ville	Site web
SAVOIRS ET PRATIQUES, DU MOYEN AGE A L'EPOQUE MODERNE	2.329	48.859	200615360Z	Sciences humaines et humanites	46 rue de Lille, 75007 Paris 7e	75007.0	PARIS	
Centre de Nanosciences et de Nanotechnologies	2.250	48.719	201622200R	Physique, Sciences pour l'ingenieur	10 Boulevard Thomas Gobert, 91120 Palaiseau	91120	PALAISEAU	http://www.c2n.universite-paris-saclay.fr/fr/
LABORATOIRE DE PHYSICO-CHIMIE DES POLYMERES ET DES INTERFACES - EA 2528	2.074	49.017	199814057T		Université de Cergy-Pontoise site de Neuville-sur-Oise, 5 Mail Gay Lussac, 95000 Neuville-sur-Oise, France	95000	CERGY	http://www.u-cergy.fr/fr/laboratoires/lppi.html
Institut Jean-Pierre BOURGIN	2.096	48.803	201119640E	Sciences agronomiques et ecologiques	Route de Saint-Cyr - RD 10, 78026 Versailles	78000	VERSAILLES	www-ijpb.versailles.inra.fr
Institut des Neurosciences Paris Saclay	2.132	48.705	201521290F	Biologie, medecine et sante	Avenue de la Terrasse, 91198 Gif-sur-yvette	91190	GIF SUR YVETTE	http://neuro-psi.cnrs.fr/
Institut photonique d'analyse non-destructive europeen des materiaux anciens	2.133	48.701	201220537A	Physique, Chimie, Sciences humaines et humanites, Sciences agronomiques et ecologiques	SAINT-AUBIN, 91192 Gif-sur-yvette	91190	GIF SUR YVETTE	http://ipanema.cnrs.fr/
LABORATOIRE GEOMATERIAUX ET ENVIRONNEMENT	2.349	48.960	201019063G	Sciences de la terre et de l'univers, espace, Sciences pour l'ingenieur	5 Boulevard Descartes Champs sur Marne, 77454 Champs-sur-marne	77450	CHAMPS SUR MARNE	lge.u-pem.fr
Centre d'etudes et de documentation juridique, economique et sociale	2.293	48.802	200719776V	Sciences de la societe	13 Rue Louveau, 92438 Châtillon	92320	CHATILLON	http://www.cedej-eg.org
Institut du Developpement et des Ressources en Informatique Scientifique	2.315	48.861	199320519N	Sciences et technologies de l'information et de la communication	Université Paris Sud, bat. 506, BP 167 91403 Orsay	91400	ORSAY	http://www.idris.fr
Service de physique de l'etat condense	2.130	48.688	201521685K	Physique	Orme des Merisiers, 91191 Gif-sur-yvette	91190	GIF SUR YVETTE	http://www-drecam.cea.fr/spec/
Laboratoire de Chimie Physique	2.180	48.698	200011673T	Chimie	avenue Georges Clemenceau 91405 Orsay	91400	ORSAY	http://www.lcp.u-psud.fr
Prehistoire et Technologie	2.210	48.904	199912453V	Sciences humaines et humanites	21 allee de l'universite, 92000 Nanterre	92000	NANTERRE	http://www.mae.u-paris10.fr/prehistoire/
Laboratoire Analyse, Geometrie et Applications	2.338	48.957	199712596J	Mathematiques et leurs interactions	99 Av Jean Baptiste Clément, 93430 Villetaneuse	93430	VILLETANEUSE	https://www.math.univ-paris13.fr/laga/index.php/fr/
Archeologie des Ameriques	2.210	48.904	200012755U	Sciences de la societe	21 allée de l'Université 92023 Nanterre cedex	92000	NANTERRE	http://www.mae.u-paris10.fr/archam/
Laboratoire Univers et Theories	2.231	48.810	200212760R	Mathematiques et leurs interactions, Physique	5 place Jules Janssen, 92195 Meudon	92190	MEUDON	http://luth.obspm.fr/
Laboratoire de biologie et pharmacologie appliquee	2.326	48.789	200212770B	Biologie, medecine et sante	61 avenue du President Wilson, 94235 Cachan	94230	CACHAN	http://www.lbpa.ens-cachan.fr
Laboratoire de Geographie Physique : Environnements Quaternaires et Actuels	2.229	48.820	199812919F	Sciences de la terre et de l'univers, espace, Sciences humaines et humanites	1 Place Aristide Briand, 92195 Meudon	92190	MEUDON	
Orient et Mediterranee, textes - archeologie - histoire	2.371	48.818	200612819M	Sciences humaines et humanites	27 rue Paul Bert, 94204 Ivry-sur-seine	94200	YVRY SUR SEINE	
Institut Lavoisier de Versailles	2.150	48.810	200612827W	Chimie	45 avenue des Etats Unis, 78035 Versailles	78000	VERSAILLES	http://www.ilv.uvsq.fr
CENTRE D'HISTOIRE CULTURELLE DES SOCIETES CONTEMPORAINES	2.044	48.780	199813979H	Sciences humaines et humanites	47 Boulevard Vauban, 78047 Guyancourt Cedex	75013.0	GUYANCOURT	
DYNAMIQUES PATRIMONIALES ET CULTURELLES	2.044	48.780	199813980J	Sciences humaines et humanites	47 bd Vauban, 78047 Guyancourt	78280	GUYANCOURT	
Laboratoire d'Optique et Biosciences	2.232	48.718	200519254L	Physique, Biologie, medecine et sante	Route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://www.lob.polytechnique.fr
CYTOKINES, CHIMIOKINES ET IMMUNOPATHOLOGIE	2.334	48.899	201019138N	Biologie, medecine et sante	16 Rue Henri Huchard, 75018 Paris 18e	75018.0	PARIS	
Laboratoire d'Informatique de l'Ecole Polytechnique	2.224	48.725	200519331V	Sciences et technologies de l'information et de la communication	1 rue Honoré d'Estienne d'Orves, 91120 Palaiseau	91120	PALAISEAU	http://www.lix.polytechnique.fr/
Centre des materiaux	2.451	48.619	199719335J	Chimie	10 rue Henri Desbrueres, 91003 Évry	91000	EVRY	http://www.mat.ensmp.fr
Laboratoire de physique des plasmas	2.232	48.718	201019049S	Sciences pour l'ingenieur	Route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://www.lpp.fr
HISTOIRE DES ARTS ET DES REPRESENTATIONS	2.211	48.906	200918484G	Sciences humaines et humanites	200 avenue de la Republique, 92001 Nanterre	92000	NANTERRE	http://har.u-paris10.fr
INSTITUT DE RECHERCHE POUR UN DROIT ATTRACTIF	2.338	48.957	200515228K	Sciences de la societe	99 avenue Jean-Baptiste Clement, 93430 Villetaneuse	93430	VILLETANEUSE	http://www.univ-paris13.fr/irda/
Integrated genetic approaches in therapeutic discovery for rare	2.448	48.619	201019028U	Biologie, medecine et sante	GENETHON - 1 bis rue de l’Internationale, BP 60 91000 Evry Cedex	91000	EVRY	https://integrare-umrs951.jimdo.com/
Institut de physique theorique	2.148	48.730	201522372G	Physique	CEA Centre de Saclay, 91191 Gif-sur-Yvette	91190	GIF SUR YVETTE	http://ipht.cea.fr/
Institut de Biologie Francois-JACOB	2.174	48.732	201722499L	Biologie, medecine et sante	CEA Paris-Saclay, Centre de Saclay, 92265 Fontenay-aux-Roses Cedex	92260	FONTENAY-AUX-ROSES	
Lipides : Systemes analytiques et biologiques	2.272	48.763	201521291G	Chimie	5 rue Jean Baptiste Clement, 92290 Châtenay-malabry	92290	CHATENAY-MALABRY	
Laboratoire Eau, Environnement, Systemes Urbains	2.587	48.841	200920634U	Sciences de la terre et de l'univers, espace, Sciences de la societe, Sciences agronomiques et ecologiques	Cité Descarte 6-8 Avenue Blaise Pascal, 77455 Champs-sur-marne	77450	CHAMPS SUR MARNE	https://www.leesu.fr/
Laboratoire des Sciences des Procedes et des Materiaux	2.338	48.957	201119739M	Physique, Chimie, Sciences pour l'ingenieur	99 Av Jean Baptiste Clément, 93430 Villetaneuse	93430	VILLETANEUSE	http://www.lspm.cnrs.fr/
Biologie moleculaire et immunologie parasitaires	2.425	48.811	200117108W	Sciences agronomiques et ecologiques	14 rue Pierre et Marie Curie, 94701 Maisons-alfort	94700	MAISONS-ALFORT	https://www6.inra.fr/bipar/
